product_id,first_available_date,last_available_date,out_of_stock_date
1,2/14/2011,,
2,2/17/2011,,
3,2/17/2011,,
4,2/17/2011,,
5,2/17/2011,,
6,2/17/2011,,
9,2/17/2011,,
11,2/17/2011,,
12,2/17/2011,,
13,2/17/2011,,
14,2/17/2011,,
15,2/17/2011,,
16,2/17/2011,,
18,2/17/2011,,
19,2/17/2011,,
20,2/17/2011,,
21,2/17/2011,,
22,2/17/2011,,
23,2/17/2011,,
24,2/17/2011,,
26,2/17/2011,,
27,2/17/2011,,
28,2/17/2011,,
29,2/17/2011,,
30,2/17/2011,,
34,2/18/2011,,
35,2/18/2011,,
36,2/18/2011,,
37,2/27/2011,,
54,3/2/2011,,
55,3/2/2011,,
56,3/2/2011,,
57,3/2/2011,,
59,3/2/2011,,
60,3/2/2011,,
62,3/2/2011,,
63,3/2/2011,,
64,3/2/2011,,
65,3/2/2011,,
66,3/2/2011,,
67,3/11/2011,,
70,3/21/2011,,
71,3/21/2011,,
72,3/21/2011,,
73,3/21/2011,,
75,3/25/2011,,
76,4/6/2011,,
77,4/6/2011,,
78,4/6/2011,,
79,4/6/2011,,
80,4/6/2011,,
81,4/6/2011,,
82,4/6/2011,,
83,4/6/2011,,
86,4/21/2011,,
87,5/5/2011,,
88,5/5/2011,,
98,6/13/2011,,
102,6/18/2011,,
104,7/18/2011,,
105,7/18/2011,,
106,7/18/2011,,
107,7/18/2011,,
108,7/18/2011,,
109,7/18/2011,,
110,7/18/2011,,
111,8/18/2011,,
112,8/18/2011,,
114,8/19/2011,,
116,9/21/2011,,
121,10/10/2011,,
122,10/10/2011,,
123,10/10/2011,,
127,10/26/2011,,
128,11/16/2011,,
129,11/17/2011,,
132,12/12/2011,,
134,12/12/2011,,
140,12/23/2011,,
144,2/5/2012,,
147,5/8/2012,,
148,8/2/2012,,
150,5/10/2013,,
153,5/25/2013,,
154,5/25/2013,,
155,5/25/2013,,
156,5/30/2013,,
159,6/14/2013,,
164,6/14/2013,,
165,6/25/2013,,
166,6/25/2013,,
167,8/19/2013,,
169,8/19/2013,,
171,8/19/2013,,
172,8/19/2013,,
173,8/19/2013,,
174,9/2/2013,,
176,9/26/2013,,
177,9/26/2013,,
184,9/26/2013,,
190,10/1/2013,,
194,11/18/2013,,
196,11/18/2013,,
198,12/7/2013,,
200,1/3/2014,,
201,1/7/2014,,
203,2/11/2014,,
204,3/4/2014,,
205,3/4/2014,,
206,3/4/2014,,
207,3/4/2014,,
213,4/3/2014,,
217,5/1/2014,,
220,5/1/2014,,
225,12/16/2014,,
226,12/16/2014,,
227,1/4/2015,,
228,1/4/2015,,
229,1/4/2015,,
230,1/6/2015,,
231,1/6/2015,,
232,1/6/2015,,
233,1/6/2015,,
236,1/6/2015,,
237,3/1/2015,,
238,3/1/2015,,
239,3/1/2015,,
240,3/1/2015,,
242,4/2/2015,,
244,5/16/2015,,
245,5/16/2015,,
246,5/16/2015,,
247,5/16/2015,,
248,5/16/2015,,
250,5/16/2015,,
251,5/16/2015,,
254,8/20/2015,,
255,8/20/2015,,
256,8/20/2015,,
257,8/20/2015,,
258,8/20/2015,,
260,8/27/2015,,
262,8/27/2015,,
263,9/3/2015,,
264,9/3/2015,,
265,9/3/2015,,
266,9/3/2015,,
267,9/3/2015,,
268,9/16/2015,,
269,9/16/2015,,
270,10/17/2015,,
272,10/28/2015,,
273,11/1/2015,,
274,11/1/2015,,
275,11/1/2015,,
276,11/1/2015,,
277,11/1/2015,,
278,1/5/2016,,
280,1/7/2016,,
281,1/8/2016,,
283,2/3/2016,,
285,2/3/2016,,
286,2/3/2016,,
287,2/3/2016,,
294,7/1/2016,,
295,7/1/2016,,
297,7/4/2016,,
298,9/1/2016,,
299,9/1/2016,,
301,9/1/2016,,
302,9/1/2016,,
303,9/1/2016,,
304,9/1/2016,,
305,9/1/2016,,
314,11/15/2016,,
316,2/6/2017,,
317,2/6/2017,,
318,2/6/2017,,
320,2/6/2017,,
321,2/6/2017,,
322,2/10/2017,,
323,5/12/2017,,
324,5/12/2017,,
325,5/12/2017,,
326,6/22/2017,,
327,8/9/2017,,
328,8/9/2017,,
329,8/9/2017,,
331,8/9/2017,,
344,10/11/2017,,
346,10/21/2017,,
347,2/4/2018,,
348,2/11/2018,,
349,2/11/2018,,
350,2/12/2018,,
352,2/21/2018,,
353,2/23/2018,,
355,2/23/2018,,
356,3/9/2018,,
357,3/9/2018,,
358,3/12/2018,,
359,3/12/2018,,
365,11/26/2018,,
366,11/26/2018,,
367,11/26/2018,,
368,11/28/2018,,
369,11/28/2018,,
372,1/10/2019,,
374,1/10/2019,,
375,1/11/2019,,
377,4/11/2019,,
378,4/11/2019,,
379,4/11/2019,,
380,4/11/2019,,
381,4/11/2019,,
382,5/3/2019,,
383,6/28/2019,,
384,6/28/2019,,
385,7/2/2019,,
386,7/3/2019,,
387,7/7/2019,,
388,7/7/2019,,
389,7/15/2019,,
390,7/22/2019,,
391,8/14/2019,,
392,8/14/2019,,
393,8/14/2019,,
394,8/14/2019,,
10,2/17/2011,,12/31/2011
17,2/17/2011,4/30/2013,
25,2/17/2011,5/30/2012,
31,2/17/2011,12/31/2018,
32,2/18/2011,,12/31/2011
33,2/18/2011,5/30/2019,
38,3/2/2011,1/30/2019,
39,3/2/2011,1/30/2019,
40,3/2/2011,1/30/2019,
41,3/2/2011,1/30/2019,
42,3/2/2011,1/30/2019,
43,3/2/2011,1/30/2019,
44,3/2/2011,,6/30/2012
45,3/2/2011,12/30/2012,
46,3/2/2011,12/30/2018,
47,3/2/2011,12/30/2018,
48,3/2/2011,12/30/2018,
49,3/2/2011,12/30/2018,
51,3/2/2011,,4/2/2011
52,3/2/2011,12/30/2016,
53,3/2/2011,12/30/2012,
58,3/2/2011,10/30/2018,
74,3/21/2011,,6/30/2015
84,4/12/2011,3/30/2012,
85,4/21/2011,3/30/2018,
89,5/5/2011,5/30/2017,
90,5/5/2011,8/30/2013,
91,5/5/2011,7/1/2017,
92,5/5/2011,,12/31/2011
93,5/5/2011,,6/30/2012
94,5/5/2011,,6/30/2012
95,6/13/2011,4/30/2018,
96,6/13/2011,5/30/2017,
97,6/13/2011,,2/1/2018
99,6/18/2011,,3/31/2019
100,6/18/2011,,12/31/2017
101,6/18/2011,12/21/2018,
103,6/18/2011,,6/30/2013
113,8/18/2011,,10/30/2018
115,8/19/2011,,6/30/2015
117,10/7/2011,2/28/2012,
118,10/7/2011,3/15/2012,
119,10/7/2011,,3/30/2012
120,10/7/2011,,3/30/2012
124,10/16/2011,,12/31/2011
125,10/16/2011,,12/31/2011
126,10/24/2011,,6/30/2017
130,11/18/2011,12/31/2018,
131,11/18/2011,,12/31/2018
133,12/12/2011,,12/31/2011
135,12/12/2011,,12/31/2011
136,12/12/2011,,12/31/2011
137,12/12/2011,,12/31/2011
138,12/12/2011,,12/31/2011
139,12/12/2011,,12/31/2011
141,1/23/2012,,2/1/2016
142,1/23/2012,,3/1/2012
145,2/28/2012,,6/30/2017
149,9/6/2012,,1/15/2013
151,5/25/2013,,6/30/2017
152,5/25/2013,,6/30/2016
157,5/30/2013,,6/30/2017
158,5/30/2013,,11/30/2018
161,6/14/2013,,6/30/2014
162,6/14/2013,,12/31/2017
163,6/14/2013,,12/31/2017
168,8/19/2013,10/30/2017,
170,8/19/2013,,8/30/2017
175,9/10/2013,,12/31/2015
178,9/26/2013,,12/1/2014
179,9/26/2013,,12/1/2014
180,9/26/2013,12/31/2014,
181,9/26/2013,,12/1/2014
182,9/26/2013,4/30/2016,
183,9/26/2013,,12/1/2014
185,9/26/2013,,9/6/2018
186,10/1/2013,,6/30/2017
187,10/1/2013,12/31/2018,
188,10/1/2013,,12/1/2018
189,10/1/2013,,12/1/2014
191,11/12/2013,,12/31/2016
192,11/12/2013,,12/31/2018
193,11/12/2013,,6/30/2016
195,11/18/2013,,6/30/2016
197,12/7/2013,,12/31/2018
199,12/7/2013,,12/31/2018
202,1/7/2014,,12/31/2017
208,3/4/2014,,7/30/2014
209,4/3/2014,,7/30/2014
210,4/3/2014,,7/30/2014
211,4/3/2014,,7/30/2014
212,4/3/2014,,7/30/2014
214,4/3/2014,,5/1/2019
215,5/1/2014,,12/15/2018
216,5/1/2014,,12/31/2015
218,5/1/2014,,3/30/2017
219,5/1/2014,,3/30/2017
221,5/1/2014,,3/30/2016
222,5/19/2014,,7/22/2016
223,5/28/2014,,7/5/2017
224,12/8/2014,,12/31/2014
234,1/6/2015,12/31/2018,
235,1/6/2015,,9/30/2017
241,4/2/2015,,9/30/2018
243,4/2/2015,,4/1/2015
249,5/16/2015,,7/30/2016
252,8/17/2015,,3/1/2016
253,8/20/2015,,12/30/2018
259,8/27/2015,3/30/2019,
261,8/27/2015,3/30/2019,
271,10/17/2015,,11/1/2018
279,1/5/2016,,12/31/2018
282,2/3/2016,,12/31/2017
284,2/3/2016,,12/31/2017
288,4/29/2016,,4/1/2017
289,5/4/2016,,4/1/2017
290,5/4/2016,,4/1/2017
291,5/4/2016,,4/1/2017
292,5/4/2016,,4/1/2017
293,5/4/2016,,4/23/2018
296,7/1/2016,,2/1/2018
300,9/1/2016,,12/31/2017
306,10/17/2016,,2/1/2018
307,10/17/2016,,2/1/2018
308,10/17/2016,,2/1/2018
309,11/1/2016,,2/1/2018
310,11/1/2016,,2/1/2018
311,11/15/2016,12/31/2018,
312,11/15/2016,,8/1/2018
313,11/15/2016,,2/1/2019
315,1/30/2017,3/30/2019,
319,2/6/2017,,12/31/2018
330,8/9/2017,3/30/2019,
332,8/9/2017,3/30/2019,
333,8/29/2017,,3/1/2018
334,8/29/2017,,3/1/2018
335,8/29/2017,,3/1/2018
336,8/29/2017,,3/1/2018
337,8/29/2017,,3/1/2018
338,8/29/2017,,3/1/2018
339,8/29/2017,,3/1/2018
340,8/29/2017,,3/1/2018
341,10/4/2017,,3/1/2018
342,10/11/2017,3/30/2019,
343,10/11/2017,,11/1/2018
345,10/14/2017,,7/20/2019
351,2/12/2018,,3/1/2018
354,2/23/2018,3/30/2019,
360,3/12/2018,3/30/2019,
361,8/27/2018,4/30/2019,
362,8/27/2018,4/30/2019,
363,9/29/2018,4/30/2019,
364,9/29/2018,4/30/2019,
370,1/1/2019,,4/1/2019
371,1/1/2019,3/15/2019,
373,1/10/2019,1/10/2019,
376,2/2/2019,4/30/2019,
